cliente,genero,edad,ciudad_cliente
Cliente_1871,Femenino,20,Tapachula
Cliente_1693,Masculino,52,Cancún
Cliente_613,Masculino,54,puebla
Cliente_1274,Masculino,23,TAPACHULA
Cliente_1345,Femenino,26,tapachula
Cliente_1723,Femenino,51,tuxtla gutiérrez
Cliente_75,Femenino,62,guadalajara
Cliente_483,Masculino,50,Monterrey
Cliente_1582,Masculino,47,MÉRIDA
Cliente_800,Masculino,42,LEÓN
Cliente_676,Femenino,52,mérida
Cliente_624,Femenino,20,CANCÚN
Cliente_1375,Femenino,49,monterrey
Cliente_1449,Femenino,59,Cancún
Cliente_1477,Femenino,57,Puebla
Cliente_216,Femenino,18,monterrey
Cliente_1438,Femenino,41,guadalajara
Cliente_455,Femenino,25,Tijuana
Cliente_122,Masculino,46,Ciudad de México
Cliente_1891,Femenino,49,puebla
Cliente_739,Femenino,67,puebla
Cliente_783,Masculino,59,monterrey
Cliente_579,Masculino,31,TIJUANA
Cliente_99,Masculino,66,Tapachula
Cliente_884,Masculino,42,Monterrey
Cliente_1949,Femenino,70,monterrey
Cliente_849,Femenino,44,TAPACHULA
Cliente_90,Femenino,50,mérida
Cliente_1856,Masculino,59,león
Cliente_1455,Femenino,33,cancún
Cliente_657,Femenino,46,Mérida
Cliente_445,Femenino,21,león
Cliente_1816,Femenino,43,LEÓN
Cliente_504,Masculino,42,LEÓN
Cliente_670,Femenino,27,MÉRIDA
Cliente_726,Masculino,51,CIUDAD DE MÉXICO
Cliente_1566,Femenino,62,TAPACHULA
Cliente_1038,Masculino,27,Monterrey
Cliente_1284,Femenino,39,ciudad de méxico
Cliente_815,Masculino,22,Guadalajara
Cliente_139,Femenino,30,Tuxtla Gutiérrez
Cliente_272,Femenino,47,guadalajara
Cliente_1854,Masculino,25,GUADALAJARA
Cliente_1916,Masculino,57,TIJUANA
Cliente_602,Femenino,23,CANCÚN
Cliente_275,Femenino,69,Ciudad de México
Cliente_1584,Femenino,61,Guadalajara
Cliente_460,Femenino,67,tijuana
Cliente_1380,Femenino,31,Puebla
Cliente_1085,Femenino,64,tuxtla gutiérrez
Cliente_820,Femenino,62,ciudad de méxico
Cliente_575,Femenino,59,mérida
Cliente_802,Femenino,50,monterrey
Cliente_1073,Masculino,69,MONTERREY
Cliente_653,Femenino,41,GUADALAJARA
Cliente_1028,Femenino,69,León
Cliente_114,Femenino,56,Guadalajara
Cliente_714,Masculino,43,Cancún
Cliente_1402,Femenino,51,tuxtla gutiérrez
Cliente_1634,Femenino,50,tuxtla gutiérrez
Cliente_684,Femenino,54,Cancún
Cliente_687,Femenino,31,Ciudad de México
Cliente_1721,Femenino,33,puebla
Cliente_426,Femenino,39,Puebla
Cliente_992,Masculino,25,León
Cliente_239,Femenino,37,cancún
Cliente_1040,Masculino,39,monterrey
Cliente_441,Femenino,62,TUXTLA GUTIÉRREZ
Cliente_1580,Masculino,18,Mérida
Cliente_1919,Masculino,46,Mérida
Cliente_945,Femenino,26,Cancún
Cliente_1675,Masculino,50,Tapachula
Cliente_1590,Femenino,44,Monterrey
Cliente_678,Femenino,59,Cancún
Cliente_1228,Masculino,58,puebla
Cliente_1786,Masculino,28,MONTERREY
Cliente_1131,Masculino,65,ciudad de méxico
Cliente_1957,Femenino,33,CANCÚN
Cliente_172,Masculino,33,CANCÚN
Cliente_948,Femenino,22,Ciudad de México
Cliente_63,Masculino,30,GUADALAJARA
Cliente_1045,Masculino,38,León
Cliente_169,Masculino,19,Mérida
Cliente_18,Masculino,33,TIJUANA
Cliente_205,Femenino,23,puebla
Cliente_1459,Masculino,42,cancún
Cliente_296,Masculino,61,PUEBLA
Cliente_789,Femenino,51,PUEBLA
Cliente_1537,Femenino,33,Tijuana
Cliente_46,Masculino,51,tapachula
Cliente_46,Masculino,51,TAPACHULA
Cliente_1574,Masculino,48,mérida
Cliente_1752,Femenino,53,mérida
Cliente_665,Femenino,27,Cancún
Cliente_1063,Femenino,56,MONTERREY
Cliente_1475,Masculino,34,león
Cliente_1957,Femenino,33,cancún
Cliente_33,Femenino,49,tuxtla gutiérrez
Cliente_1918,Masculino,23,TIJUANA
Cliente_1048,Masculino,66,Guadalajara
Cliente_1243,Masculino,23,mérida
Cliente_1119,Masculino,23,Guadalajara
Cliente_1674,Masculino,61,guadalajara
Cliente_1815,Femenino,27,TAPACHULA
Cliente_1983,Masculino,56,TUXTLA GUTIÉRREZ
Cliente_1419,Femenino,29,León
Cliente_538,Femenino,42,MÉRIDA
Cliente_1947,Femenino,39,cancún
Cliente_356,Masculino,31,MÉRIDA
Cliente_1026,Masculino,56,monterrey
Cliente_1507,Femenino,23,CANCÚN
Cliente_1215,Masculino,70,GUADALAJARA
Cliente_206,,35,puebla
Cliente_529,Femenino,62,Tapachula
Cliente_612,Masculino,22,TIJUANA
Cliente_90,Femenino,50,mérida
Cliente_183,Masculino,44,TIJUANA
Cliente_1714,Femenino,26,mérida
Cliente_11,Masculino,52,CANCÚN
Cliente_1860,Masculino,20,cancún
Cliente_1271,Masculino,64,Tijuana
Cliente_1739,Femenino,34,guadalajara
Cliente_1952,Femenino,54,TUXTLA GUTIÉRREZ
Cliente_1092,Masculino,69,tuxtla gutiérrez
Cliente_936,Masculino,67,TUXTLA GUTIÉRREZ
Cliente_1203,Femenino,69,MONTERREY
Cliente_620,Femenino,49,Mérida
Cliente_783,Masculino,59,MONTERREY
Cliente_749,Masculino,29,Tuxtla Gutiérrez
Cliente_1168,Femenino,26,León
Cliente_930,,47,Cancún
Cliente_501,Femenino,33,TAPACHULA
Cliente_1348,Femenino,64,CIUDAD DE MÉXICO
Cliente_1905,Masculino,59,Tapachula
Cliente_1425,Masculino,49,Cancún
Cliente_790,Femenino,27,MÉRIDA
Cliente_1127,Femenino,38,MÉRIDA
Cliente_953,Masculino,60,guadalajara
Cliente_1062,Femenino,25,CIUDAD DE MÉXICO
Cliente_670,Femenino,27,MÉRIDA
Cliente_1397,Masculino,21,TAPACHULA
Cliente_141,Femenino,41,MONTERREY
Cliente_898,Masculino,57,mérida
Cliente_18,Masculino,33,TIJUANA
Cliente_1105,Femenino,37,cancún
Cliente_1766,Masculino,62,GUADALAJARA
Cliente_759,Femenino,63,Tapachula
Cliente_1411,Masculino,66,Mérida
Cliente_988,Femenino,57,MÉRIDA
Cliente_146,Femenino,21,TAPACHULA
Cliente_728,Masculino,30,CANCÚN
Cliente_1597,Femenino,43,Guadalajara
Cliente_1835,Masculino,35,CIUDAD DE MÉXICO
Cliente_1907,Masculino,66,TIJUANA
Cliente_876,Masculino,67,Guadalajara
Cliente_930,Femenino,47,Cancún
Cliente_1823,Femenino,28,Tuxtla Gutiérrez
Cliente_566,Femenino,23,puebla
Cliente_915,Femenino,42,TIJUANA
Cliente_179,Masculino,29,león
Cliente_1244,Masculino,56,León
Cliente_1067,Femenino,27,Puebla
Cliente_427,Femenino,28,Tapachula
Cliente_1225,Femenino,62,Tapachula
Cliente_936,Masculino,67,tuxtla gutiérrez
Cliente_462,Femenino,60,LEÓN
Cliente_1985,Femenino,67,guadalajara
Cliente_795,Femenino,37,guadalajara
Cliente_11,Masculino,52,Cancún
Cliente_1745,Femenino,61,PUEBLA
Cliente_1829,Femenino,22,TUXTLA GUTIÉRREZ
Cliente_823,Femenino,46,tuxtla gutiérrez
Cliente_142,Masculino,33,Monterrey
Cliente_348,Masculino,46,Mérida
Cliente_1521,Masculino,41,Tuxtla Gutiérrez
Cliente_1243,Masculino,23,Mérida
Cliente_1622,Femenino,46,monterrey
