id_venta,producto,cliente,sucursal,fecha,cantidad,precio
1,Producto_31,Cliente_1871,Sucursal_2,2023-12-02,2,1672
2,Producto_89,Cliente_1693,Sucursal_15,2023-04-17,1,3372
3,Producto_79,Cliente_613,Sucursal_15,2023-01-06,1,9920
4,Producto_62,Cliente_1274,Sucursal_11,2025-12-02,2,8189
5,Producto_49,Cliente_1345,Sucursal_11,2024-03-03,3,724
6,Producto_71,Cliente_1723,Sucursal_8,2023-10-17,2,3839
7,Producto_85,Cliente_75,Sucursal_3,2024-11-22,5,1469
8,Producto_83,Cliente_483,Sucursal_10,2023-10-04,3,816
9,Producto_91,Cliente_1582,Sucursal_8,2024-09-01,4,2224
10,Producto_94,Cliente_800,Sucursal_8,2024-12-03,2,4420
11,Producto_67,Cliente_676,Sucursal_2,2024-06-26,4,10642
12,Producto_54,Cliente_624,Sucursal_3,2024-05-24,2,376
13,Producto_100,Cliente_1375,Sucursal_14,2025-11-14,4,19849
14,Producto_74,Cliente_1449,Sucursal_9,2025-05-19,4,3394
15,Producto_93,Cliente_1477,Sucursal_13,2024-09-09,2,4729
16,Producto_45,Cliente_216,Sucursal_11,2024-02-18,1,292
17,Producto_39,Cliente_1438,Sucursal_5,2025-03-17,3,1981
18,Producto_55,Cliente_455,Sucursal_13,2023-01-12,3,11959
19,Producto_43,Cliente_122,Sucursal_2,2024-08-30,1,16970
20,Producto_58,Cliente_1891,Sucursal_12,2025-02-15,4,6305
21,Producto_6,Cliente_739,Sucursal_1,2023-06-27,4,8819
22,Producto_91,Cliente_783,Sucursal_8,2023-06-08,3,3920
23,Producto_36,Cliente_579,Sucursal_4,2023-09-24,2,715
24,Producto_8,Cliente_99,Sucursal_4,2023-04-15,4,782
25,Producto_35,Cliente_884,Sucursal_12,2025-02-09,3,565
26,Producto_27,Cliente_1949,Sucursal_1,2023-07-08,1,5317
27,Producto_47,Cliente_849,Sucursal_13,2024-08-21,2,384
28,Producto_15,Cliente_90,Sucursal_14,2023-09-29,5,1637
29,Producto_37,Cliente_1856,Sucursal_9,2024-07-04,4,1497
30,Producto_27,Cliente_1455,Sucursal_6,2024-04-06,4,5439
31,Producto_42,Cliente_657,Sucursal_2,2025-10-12,3,4955
32,Producto_63,Cliente_445,Sucursal_7,2023-12-31,2,6353
33,Producto_4,Cliente_1816,Sucursal_12,2023-10-22,1,2184
34,Producto_11,Cliente_504,Sucursal_1,2025-09-01,1,1338
35,Producto_78,Cliente_670,Sucursal_11,2024-11-10,4,2385
36,Producto_25,Cliente_726,Sucursal_13,2024-01-02,5,7293
37,Producto_17,Cliente_1566,Sucursal_6,2023-04-26,2,4303
38,Producto_69,Cliente_1038,Sucursal_10,2025-01-28,2,13856
39,Producto_66,Cliente_1284,Sucursal_15,2024-01-02,3,8784
40,Producto_31,Cliente_815,Sucursal_13,2023-08-11,4,2139
41,Producto_34,Cliente_139,Sucursal_3,2025-07-22,4,2554
42,Producto_58,Cliente_272,Sucursal_1,2023-08-26,5,15892
43,Producto_92,Cliente_1854,Sucursal_4,2023-01-23,1,3720
44,Producto_100,Cliente_1916,Sucursal_12,2025-09-16,2,14092
45,Producto_15,Cliente_602,Sucursal_10,2025-06-14,3,596
46,Producto_4,Cliente_275,Sucursal_5,2023-03-30,5,6481
47,Producto_82,Cliente_1584,Sucursal_11,2023-08-11,4,1120
48,Producto_24,Cliente_460,Sucursal_12,2025-10-09,4,1777
