sucursal,ciudad_sucursal,estado
Sucursal_2,Mérida,Yucatán
Sucursal_15,Mérida,Yucatán
Sucursal_15,MÉRIDA,Yucatán
Sucursal_11,PUEBLA,Puebla
Sucursal_11,PUEBLA,Puebla
Sucursal_8,Puebla,Puebla
Sucursal_3,Monterrey,Nuevo León
Sucursal_10,monterrey,Nuevo León
Sucursal_8,Puebla,Puebla
Sucursal_8,puebla,Puebla
Sucursal_2,Mérida,Yucatán
Sucursal_3,monterrey,Nuevo León
Sucursal_14,Puebla,Puebla
Sucursal_9,tuxtla gutiérrez,Chiapas
Sucursal_13,LEÓN,Guanajuato
Sucursal_11,Puebla,Puebla
Sucursal_5,TIJUANA,Baja California
Sucursal_13,león,Guanajuato
Sucursal_2,MÉRIDA,Yucatán
Sucursal_12,GUADALAJARA,Jalisco
Sucursal_1,MONTERREY,Nuevo León
Sucursal_8,PUEBLA,Puebla
Sucursal_4,MÉRIDA,Yucatán
Sucursal_4,Mérida,Yucatán
Sucursal_12,Guadalajara,Jalisco
Sucursal_1,monterrey,Nuevo León
Sucursal_13,LEÓN,Guanajuato
Sucursal_14,puebla,Puebla
Sucursal_9,TUXTLA GUTIÉRREZ,Chiapas
Sucursal_6,LEÓN,Guanajuato
Sucursal_2,Mérida,Yucatán
Sucursal_7,CIUDAD DE MÉXICO,CDMX
Sucursal_12,guadalajara,Jalisco
Sucursal_1,Monterrey,Nuevo León
Sucursal_11,puebla,Puebla
Sucursal_13,león,Guanajuato
Sucursal_6,león,Guanajuato
Sucursal_10,monterrey,Nuevo León
Sucursal_15,mérida,Yucatán
Sucursal_13,LEÓN,Guanajuato
Sucursal_3,monterrey,Nuevo León
Sucursal_1,monterrey,Nuevo León
Sucursal_4,mérida,Yucatán
Sucursal_12,GUADALAJARA,Jalisco
Sucursal_10,Monterrey,Nuevo León
Sucursal_5,tijuana,Baja California
Sucursal_11,PUEBLA,Puebla
Sucursal_12,guadalajara,Jalisco
Sucursal_14,PUEBLA,Puebla
Sucursal_8,Puebla,Puebla
Sucursal_3,Monterrey,Nuevo León
Sucursal_14,PUEBLA,Puebla
Sucursal_12,Guadalajara,Jalisco
Sucursal_15,mérida,Yucatán
Sucursal_13,león,Guanajuato
Sucursal_4,MÉRIDA,Yucatán
Sucursal_1,Monterrey,Nuevo León
Sucursal_5,Tijuana,Baja California
Sucursal_4,mérida,Yucatán
Sucursal_9,TUXTLA GUTIÉRREZ,Chiapas
Sucursal_4,Mérida,Yucatán
Sucursal_9,Tuxtla Gutiérrez,Chiapas
Sucursal_3,MONTERREY,Nuevo León
Sucursal_12,Guadalajara,Jalisco
Sucursal_9,Tuxtla Gutiérrez,Chiapas
Sucursal_7,CIUDAD DE MÉXICO,CDMX
Sucursal_4,MÉRIDA,Yucatán
Sucursal_14,PUEBLA,Puebla
Sucursal_2,MÉRIDA,Yucatán
Sucursal_5,Tijuana,Baja California
Sucursal_4,mérida,Yucatán
Sucursal_12,GUADALAJARA,Jalisco
Sucursal_14,Puebla,Puebla
Sucursal_7,Ciudad de México,CDMX
Sucursal_5,TIJUANA,Baja California
Sucursal_1,MONTERREY,Nuevo León
Sucursal_11,Puebla,Puebla
Sucursal_13,León,Guanajuato
Sucursal_13,león,Guanajuato
Sucursal_4,MÉRIDA,Yucatán
Sucursal_13,león,Guanajuato
Sucursal_6,LEÓN,Guanajuato
Sucursal_1,monterrey,Nuevo León
Sucursal_2,MÉRIDA,Yucatán
Sucursal_8,puebla,Puebla
Sucursal_8,puebla,Puebla
Sucursal_8,PUEBLA,Puebla
Sucursal_2,Mérida,Yucatán
Sucursal_7,ciudad de méxico,CDMX
Sucursal_12,guadalajara,Jalisco
Sucursal_15,Mérida,Yucatán
Sucursal_4,Mérida,Yucatán
Sucursal_6,león,Guanajuato
Sucursal_8,Puebla,Puebla
Sucursal_6,LEÓN,Guanajuato
Sucursal_2,mérida,Yucatán
Sucursal_1,monterrey,Nuevo León
Sucursal_3,Monterrey,Nuevo León
Sucursal_9,Tuxtla Gutiérrez,Chiapas
Sucursal_8,PUEBLA,Puebla
Sucursal_12,guadalajara,Jalisco
Sucursal_3,MONTERREY,Nuevo León
Sucursal_3,MONTERREY,Nuevo León
Sucursal_12,Guadalajara,Jalisco
Sucursal_10,Monterrey,Nuevo León
Sucursal_14,PUEBLA,Puebla
Sucursal_4,Mérida,Yucatán
Sucursal_6,LEÓN,Guanajuato
Sucursal_12,Guadalajara,Jalisco
Sucursal_6,león,Guanajuato
Sucursal_4,mérida,Yucatán
Sucursal_5,TIJUANA,Baja California
Sucursal_5,Tijuana,Baja California
Sucursal_10,Monterrey,Nuevo León
Sucursal_2,mérida,Yucatán
Sucursal_6,León,Guanajuato
Sucursal_1,Monterrey,Nuevo León
Sucursal_10,Monterrey,Nuevo León
Sucursal_2,mérida,Yucatán
Sucursal_5,tijuana,Baja California
Sucursal_2,Mérida,Yucatán
Sucursal_4,mérida,Yucatán
Sucursal_5,TIJUANA,Baja California
Sucursal_4,MÉRIDA,Yucatán
Sucursal_15,Mérida,Yucatán
Sucursal_14,puebla,Puebla
Sucursal_6,León,Guanajuato
Sucursal_6,león,Guanajuato
Sucursal_1,Monterrey,Nuevo León
Sucursal_6,león,Guanajuato
Sucursal_12,guadalajara,Jalisco
Sucursal_3,Monterrey,Nuevo León
Sucursal_7,ciudad de méxico,CDMX
Sucursal_7,CIUDAD DE MÉXICO,CDMX
