id_venta,producto,categoria,marca,cliente,genero,edad,ciudad_cliente,sucursal,ciudad_sucursal,estado,fecha,cantidad,precio,total
1,Producto_31,Deportes,HomePro,Cliente_1871,Femenino,20,Tapachula,Sucursal_2,Mérida,Yucatán,2023-12-02,2,1672,3344
2,Producto_89,Muebles,NextGen,Cliente_1693,Masculino,52,Cancún,Sucursal_15,Mérida,Yucatán,2023-04-17,1,3372,3372
3,Producto_79,Tecnología,FitLife,Cliente_613,Masculino,54,puebla,Sucursal_15,MÉRIDA,Yucatán,2023-01-06,1,9920,9920
4,Producto_62,Tecnología,HomePro,Cliente_1274,Masculino,23,TAPACHULA,Sucursal_11,PUEBLA,Puebla,2025-12-02,2,8189,16378
5,Producto_49,Deportes,HomePro,Cliente_1345,Femenino,26,tapachula,Sucursal_11,PUEBLA,Puebla,2024-03-03,3,724,2172
6,Producto_71,Hogar,ComfortPlus,Cliente_1723,Femenino,51,tuxtla gutiérrez,Sucursal_8,Puebla,Puebla,2023-10-17,2,3839,7678
7,Producto_85,Ropa,TechBrand,Cliente_75,Femenino,62,guadalajara,Sucursal_3,Monterrey,Nuevo León,2024-11-22,5,1469,7345
8,Producto_83,Hogar,Alpha,Cliente_483,Masculino,50,Monterrey,Sucursal_10,monterrey,Nuevo León,2023-10-04,3,816,2448
9,Producto_91,Hogar,Omega,Cliente_1582,Masculino,47,MÉRIDA,Sucursal_8,Puebla,Puebla,2024-09-01,4,2224,8896
10,Producto_94,Muebles,NextGen,Cliente_800,Masculino,42,LEÓN,Sucursal_8,puebla,Puebla,2024-12-03,2,4420,8840
11,Producto_67,Electrónica,TechBrand,Cliente_676,Femenino,52,mérida,Sucursal_2,Mérida,Yucatán,2024-06-26,4,10642,42568
12,Producto_54,Ropa,HomePro,Cliente_624,Femenino,20,CANCÚN,Sucursal_3,monterrey,Nuevo León,2024-05-24,2,376,752
13,Producto_100,Electrónica,TechBrand,Cliente_1375,Femenino,49,monterrey,Sucursal_14,Puebla,Puebla,2025-11-14,4,19849,79396
14,Producto_74,Tecnología,TechBrand,Cliente_1449,Femenino,59,Cancún,Sucursal_9,tuxtla gutiérrez,Chiapas,2025-05-19,4,3394,13576
15,Producto_93,Hogar,UrbanStyle,Cliente_1477,Femenino,57,Puebla,Sucursal_13,LEÓN,Guanajuato,2024-09-09,2,4729,9458
16,Producto_45,Ropa,FitLife,Cliente_216,Femenino,18,monterrey,Sucursal_11,Puebla,Puebla,2024-02-18,1,292,292
17,Producto_39,Ropa,NextGen,Cliente_1438,Femenino,41,guadalajara,Sucursal_5,TIJUANA,Baja California,2025-03-17,3,1981,5943
18,Producto_55,Tecnología,NextGen,Cliente_455,Femenino,25,Tijuana,Sucursal_13,león,Guanajuato,2023-01-12,3,11959,35877
19,Producto_43,Electrónica,Omega,Cliente_122,Masculino,46,Ciudad de México,Sucursal_2,MÉRIDA,Yucatán,2024-08-30,1,16970,16970
20,Producto_58,Electrónica,TechBrand,Cliente_1891,Femenino,49,puebla,Sucursal_12,GUADALAJARA,Jalisco,2025-02-15,4,6305,25220
21,Producto_6,Tecnología,Omega,Cliente_739,Femenino,67,puebla,Sucursal_1,MONTERREY,Nuevo León,2023-06-27,4,8819,35276
22,Producto_91,Hogar,Omega,Cliente_783,Masculino,59,monterrey,Sucursal_8,PUEBLA,Puebla,2023-06-08,3,3920,11760
23,Producto_36,Deportes,Nova,Cliente_579,Masculino,31,TIJUANA,Sucursal_4,MÉRIDA,Yucatán,2023-09-24,2,715,1430
24,Producto_8,Ropa,Nova,Cliente_99,Masculino,66,Tapachula,Sucursal_4,Mérida,Yucatán,2023-04-15,4,782,3128
25,Producto_35,Deportes,FitLife,Cliente_884,Masculino,42,Monterrey,Sucursal_12,Guadalajara,Jalisco,2025-02-09,3,565,1695
26,Producto_27,Muebles,ComfortPlus,Cliente_1949,Femenino,70,monterrey,Sucursal_1,monterrey,Nuevo León,2023-07-08,1,5317,5317
27,Producto_47,Accesorios,HomePro,Cliente_849,Femenino,44,TAPACHULA,Sucursal_13,LEÓN,Guanajuato,2024-08-21,2,384,768
28,Producto_15,Deportes,FitLife,Cliente_90,Femenino,50,mérida,Sucursal_14,puebla,Puebla,2023-09-29,5,1637,8185
29,Producto_37,Ropa,HomePro,Cliente_1856,Masculino,59,león,Sucursal_9,TUXTLA GUTIÉRREZ,Chiapas,2024-07-04,4,1497,5988
30,Producto_27,Muebles,ComfortPlus,Cliente_1455,Femenino,33,cancún,Sucursal_6,LEÓN,Guanajuato,2024-04-06,4,5439,21756
31,Producto_42,Hogar,FitLife,Cliente_657,Femenino,46,Mérida,Sucursal_2,Mérida,Yucatán,2025-10-12,3,4955,14865
32,Producto_63,Muebles,HomePro,Cliente_445,Femenino,21,león,Sucursal_7,CIUDAD DE MÉXICO,CDMX,2023-12-31,2,6353,12706
33,Producto_4,Muebles,NextGen,Cliente_1816,Femenino,43,LEÓN,Sucursal_12,guadalajara,Jalisco,2023-10-22,1,2184,2184
34,Producto_11,Ropa,Alpha,Cliente_504,Masculino,42,LEÓN,Sucursal_1,Monterrey,Nuevo León,2025-09-01,1,1338,1338
35,Producto_78,Hogar,HomePro,Cliente_670,Femenino,27,MÉRIDA,Sucursal_11,puebla,Puebla,2024-11-10,4,2385,9540
36,Producto_25,Electrónica,Nova,Cliente_726,Masculino,51,CIUDAD DE MÉXICO,Sucursal_13,león,Guanajuato,2024-01-02,5,7293,36465
37,Producto_17,Hogar,FitLife,Cliente_1566,Femenino,62,TAPACHULA,Sucursal_6,león,Guanajuato,2023-04-26,2,4303,8606
38,Producto_69,Tecnología,Omega,Cliente_1038,Masculino,27,Monterrey,Sucursal_10,monterrey,Nuevo León,2025-01-28,2,13856,27712
39,Producto_66,Tecnología,Alpha,Cliente_1284,Femenino,39,ciudad de méxico,Sucursal_15,mérida,Yucatán,2024-01-02,3,8784,26352
40,Producto_31,Deportes,HomePro,Cliente_815,Masculino,22,Guadalajara,Sucursal_13,LEÓN,Guanajuato,2023-08-11,4,2139,8556
41,Producto_34,Deportes,NextGen,Cliente_139,Femenino,30,Tuxtla Gutiérrez,Sucursal_3,monterrey,Nuevo León,2025-07-22,4,2554,10216
42,Producto_58,Electrónica,TechBrand,Cliente_272,Femenino,47,guadalajara,Sucursal_1,monterrey,Nuevo León,2023-08-26,5,15892,79460
43,Producto_92,Tecnología,Nova,Cliente_1854,Masculino,25,GUADALAJARA,Sucursal_4,mérida,Yucatán,2023-01-23,1,3720,3720
44,Producto_100,Electrónica,TechBrand,Cliente_1916,Masculino,57,TIJUANA,Sucursal_12,GUADALAJARA,Jalisco,2025-09-16,2,14092,28184
45,Producto_15,Deportes,FitLife,Cliente_602,Femenino,23,CANCÚN,Sucursal_10,Monterrey,Nuevo León,2025-06-14,3,596,1788
46,Producto_4,Muebles,NextGen,Cliente_275,Femenino,69,Ciudad de México,Sucursal_5,tijuana,Baja California,2023-03-30,5,6481,32405
47,Producto_82,Ropa,ComfortPlus,Cliente_1584,Femenino,61,Guadalajara,Sucursal_11,PUEBLA,Puebla,2023-08-11,4,1120,4480
48,Producto_24,Deportes,HomePro,Cliente_460,Femenino,67,tijuana,Sucursal_12,guadalajara,Jalisco,2025-10-09,4,1777,7108
49,Producto_74,Tecnología,TechBrand,Cliente_1380,Femenino,31,Puebla,Sucursal_14,PUEBLA,Puebla,2025-11-29,1,3611,3611
50,Producto_88,Tecnología,FitLife,Cliente_1085,Femenino,64,tuxtla gutiérrez,Sucursal_8,Puebla,Puebla,2024-10-11,2,6151,12302
51,Producto_95,Tecnología,Nova,Cliente_820,Femenino,62,ciudad de méxico,Sucursal_3,Monterrey,Nuevo León,2024-11-23,3,13720,41160
52,Producto_52,Tecnología,Omega,Cliente_575,Femenino,59,mérida,Sucursal_14,PUEBLA,Puebla,2023-09-08,1,10839,10839
53,Producto_8,Ropa,Nova,Cliente_802,Femenino,50,monterrey,Sucursal_12,Guadalajara,Jalisco,2023-06-02,1,419,419
54,Producto_13,Ropa,NextGen,Cliente_1073,Masculino,69,MONTERREY,Sucursal_15,mérida,Yucatán,2025-03-13,2,1485,2970
55,Producto_66,Tecnología,Alpha,Cliente_653,Femenino,41,GUADALAJARA,Sucursal_13,león,Guanajuato,2024-03-21,3,8681,26043
56,Producto_84,Ropa,Alpha,Cliente_1028,Femenino,69,León,Sucursal_4,MÉRIDA,Yucatán,2024-12-30,5,508,2540
57,Producto_47,Accesorios,HomePro,Cliente_114,Femenino,56,Guadalajara,Sucursal_1,Monterrey,Nuevo León,2023-12-04,3,669,2007
58,Producto_42,Hogar,FitLife,Cliente_714,Masculino,43,Cancún,Sucursal_5,Tijuana,Baja California,2023-03-03,2,1181,2362
59,Producto_4,Muebles,NextGen,Cliente_1402,Femenino,51,tuxtla gutiérrez,Sucursal_4,mérida,Yucatán,2024-06-23,2,5537,11074
60,Producto_50,Accesorios,HomePro,Cliente_1634,Femenino,50,tuxtla gutiérrez,Sucursal_9,TUXTLA GUTIÉRREZ,Chiapas,2025-05-12,1,1108,1108
61,Producto_8,Ropa,Nova,Cliente_684,Femenino,54,Cancún,Sucursal_4,Mérida,Yucatán,2023-06-24,2,1407,2814
62,Producto_68,Accesorios,UrbanStyle,Cliente_687,Femenino,31,Ciudad de México,Sucursal_9,Tuxtla Gutiérrez,Chiapas,2025-09-20,1,1400,1400
63,Producto_70,Tecnología,NextGen,Cliente_1721,Femenino,33,puebla,Sucursal_3,MONTERREY,Nuevo León,2023-06-12,4,12386,49544
64,Producto_56,Hogar,Nova,Cliente_426,Femenino,39,Puebla,Sucursal_12,Guadalajara,Jalisco,2023-07-04,2,2018,4036
65,Producto_23,Accesorios,Nova,Cliente_992,Masculino,25,León,Sucursal_9,Tuxtla Gutiérrez,Chiapas,2024-09-24,4,1063,4252
66,Producto_45,Ropa,FitLife,Cliente_239,Femenino,37,cancún,Sucursal_7,CIUDAD DE MÉXICO,CDMX,2024-04-27,4,383,1532
67,Producto_19,Accesorios,NextGen,Cliente_1040,Masculino,39,monterrey,Sucursal_4,MÉRIDA,Yucatán,2025-08-18,4,726,2904
68,Producto_71,Hogar,ComfortPlus,Cliente_441,Femenino,62,TUXTLA GUTIÉRREZ,Sucursal_14,PUEBLA,Puebla,2023-01-13,1,1277,1277
69,Producto_88,Tecnología,FitLife,Cliente_1580,Masculino,18,Mérida,Sucursal_2,MÉRIDA,Yucatán,2024-01-23,4,9647,38588
70,Producto_65,Muebles,Alpha,Cliente_1919,Masculino,46,Mérida,Sucursal_5,Tijuana,Baja California,2023-06-15,3,5770,17310
71,Producto_92,Tecnología,Nova,Cliente_945,Femenino,26,Cancún,Sucursal_4,mérida,Yucatán,2025-10-20,1,6296,6296
72,Producto_62,Tecnología,HomePro,Cliente_1675,Masculino,50,Tapachula,Sucursal_12,GUADALAJARA,Jalisco,2024-05-28,1,4372,4372
73,Producto_70,Tecnología,NextGen,Cliente_1590,Femenino,44,Monterrey,Sucursal_14,Puebla,Puebla,2024-09-07,4,4128,16512
74,Producto_47,Accesorios,HomePro,Cliente_678,Femenino,59,Cancún,Sucursal_7,Ciudad de México,CDMX,2025-02-23,2,1208,2416
75,Producto_29,Hogar,NextGen,Cliente_1228,Masculino,58,puebla,Sucursal_5,TIJUANA,Baja California,2025-10-02,3,1709,5127
76,Producto_65,Muebles,Alpha,Cliente_1786,Masculino,28,MONTERREY,Sucursal_1,MONTERREY,Nuevo León,2024-07-11,2,4351,8702
77,Producto_58,Electrónica,TechBrand,Cliente_1131,Masculino,65,ciudad de méxico,Sucursal_11,Puebla,Puebla,2025-04-29,3,10953,32859
